Title,URL,OriginURL,Comment
"Sao Kê Tháng 10/2023","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pub?gid=1282269093&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pubhtml?gid=1282269093&single=true","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 11/2023","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pub?gid=523837213&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pubhtml?gid=523837213&single=true","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 12/2023","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pub?gid=1228705484&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vRlbfNP-6MwxRO27BZcMkGbty7whKOqi3t8JZO_VSrkt80Yt_jEgQMjjHYb2b2HeEP_ovYb5wLeq81_/pubhtml?gid=1228705484&single=true","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 01/2024","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pub?gid=2079061669&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pubhtml?gid=2079061669&single=true","Cột tham chiếu dư dữ liệu ngày - dữ liệu tổng hợp đầu sheet"
"Sao Kê Tháng 02/2024","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pub?gid=1324914520&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pubhtml?gid=1324914520&single=true",""
"Sao Kê Tháng 04/2024","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pub?gid=623671994&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pubhtml?gid=623671994&single=true",""
"Sao Kê Tháng 03/2024","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pub?gid=2007103659&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pubhtml?gid=2007103659&single=true",""
"Sao Kê Tháng 05/2024","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pub?gid=1449770741&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pubhtml?gid=1449770741&single=true",""
"Sao Kê Tháng 06/2024","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pub?gid=678007166&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pubhtml?gid=678007166&single=true",""
"Sao Kê Tháng 07/2024","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pub?gid=1375490992&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pubhtml?gid=1375490992&single=true", ""
"Sao Kê Tháng 08/2024","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pub?gid=215253075&single=true&output=csv","https://docs.google.com/spreadsheets/u/1/d/e/2PACX-1vTnOwvsP-YIc0iR5g-F_kc4kH7XGUwH9swLQHEa9tQ7SH4wWfLId9JAVga3DhMo6cYrrRQb10zMcI60/pubhtml?gid=215253075&single=true", ""
